ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,1735855,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1674379,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662396,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662395,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747840,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662393,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662392,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662391,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662390,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747847,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1772803,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662398,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1721219,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1674375,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1674371,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1733206,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1733207,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760806,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1698336,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650390,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1772818,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650393,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1733201,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759803,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759802,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759804,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759807,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1698324,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759806,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759809,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759808,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1723851,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662372,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662376,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662375,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759801,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759800,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1698317,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1698318,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735844,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1698313,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662384,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662382,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662381,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662380,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1784811,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735843,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735842,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1853093,SYSTEM.TXT,1.00000,1.00000,1.00000,1
